programs,nCycles,nDynamicIns,li latency,li CacheSize,ld latency,ld cacheSize,IPC,,
,,,,,,,,4,0.057670126874279
descending,10457,250,1,4,12,1000,0.023907430429378,8,0.057670126874279
descending,10704,250,2,8,12,1000,0.023355754857997,32,0.057670126874279
descending,6587,264,4,32,12,1000,0.040078943373311,128,0.057670126874279
descending,3495,272,8,128,12,1000,0.077825464949929,1000,0.057670126874279
descending,4179,256,12,1000,12,1000,0.061258674324001,,
descending,4822,272,12,1000,1,4,0.056408129406885,,
descending,4815,272,12,1000,2,8,0.056490134994808,,
descending,4028,256,12,1000,4,32,0.063555114200596,,
descending,4065,256,12,1000,8,128,0.062976629766298,,
descending,4179,256,12,1000,12,1000,0.061258674324001,,
even-odd,255,6,1,4,12,1000,0.023529411764706,,
even-odd,261,6,2,8,12,1000,0.022988505747127,,
even-odd,273,6,4,32,12,1000,0.021978021978022,,
even-odd,297,6,8,128,12,1000,0.02020202020202,,
even-odd,321,6,12,1000,12,1000,0.018691588785047,,
even-odd,321,6,12,1000,1,4,0.018691588785047,,
even-odd,321,6,12,1000,2,8,0.018691588785047,,
even-odd,321,6,12,1000,4,32,0.018691588785047,,
even-odd,321,6,12,1000,8,128,0.018691588785047,,
even-odd,321,6,12,1000,12,1000,0.018691588785047,,
fibonacci,2777,67,1,4,12,1000,0.024126755491538,,
fibonacci,2844,67,2,8,12,1000,0.023558368495077,,
fibonacci,1216,67,4,32,12,1000,0.055098684210526,,
fibonacci,1415,67,8,128,12,1000,0.047349823321555,,
fibonacci,1674,67,12,1000,12,1000,0.040023894862605,,
fibonacci,1674,67,12,1000,1,4,0.040023894862605,,
fibonacci,1674,67,12,1000,2,8,0.040023894862605,,
fibonacci,1674,67,12,1000,4,32,0.040023894862605,,
fibonacci,1674,67,12,1000,8,128,0.040023894862605,,
fibonacci,1674,67,12,1000,12,1000,0.040023894862605,,
palindrome,923,22,1,4,12,1000,0.023835319609968,,
palindrome,945,22,2,8,12,1000,0.023280423280423,,
palindrome,571,22,4,32,12,1000,0.038528896672504,,
palindrome,645,22,8,128,12,1000,0.034108527131783,,
palindrome,725,22,12,1000,12,1000,0.030344827586207,,
palindrome,725,22,12,1000,1,4,0.030344827586207,,
palindrome,725,22,12,1000,2,8,0.030344827586207,,
palindrome,725,22,12,1000,4,32,0.030344827586207,,
palindrome,725,22,12,1000,8,128,0.030344827586207,,
palindrome,725,22,12,1000,12,1000,0.030344827586207,,
prime,4154,100,1,4,12,1000,0.024073182474723,,
prime,4254,100,2,8,12,1000,0.02350728725905,,
prime,1054,100,4,32,12,1000,0.094876660341556,,
prime,1394,100,8,128,12,1000,0.071736011477762,,
prime,1734,100,12,1000,12,1000,0.057670126874279,,
prime,1734,100,12,1000,1,4,0.057670126874279,,
prime,1734,100,12,1000,2,8,0.057670126874279,,
prime,1734,100,12,1000,4,32,0.057670126874279,,
prime,1734,100,12,1000,8,128,0.057670126874279,,
prime,1734,100,12,1000,12,1000,0.057670126874279,,
