programs,nCycles,nDynamicIns,li latency,li CacheSize,ld latency,ld cacheSize
,,,,,,
descending,10457,250,1,4,12,1000
descending,10704,250,2,8,12,1000
descending,6587,264,4,32,12,1000
descending,3495,272,8,128,12,1000
descending,4179,256,12,1000,12,1000
descending,4822,272,12,1000,1,4
descending,4822,272,12,1000,1,4
descending,4815,272,12,1000,2,8
descending,4815,272,12,1000,2,8
descending,4028,256,12,1000,4,32
descending,4028,256,12,1000,4,32
descending,4065,256,12,1000,8,128
descending,4065,256,12,1000,8,128
descending,4179,256,12,1000,12,1000
descending,4179,256,12,1000,12,1000
even-odd,255,6,1,4,12,1000
even-odd,261,6,2,8,12,1000
even-odd,273,6,4,32,12,1000
even-odd,297,6,8,128,12,1000
even-odd,321,6,12,1000,12,1000
even-odd,321,6,12,1000,1,4
even-odd,321,6,12,1000,1,4
even-odd,321,6,12,1000,2,8
even-odd,321,6,12,1000,2,8
even-odd,321,6,12,1000,4,32
even-odd,321,6,12,1000,4,32
even-odd,321,6,12,1000,8,128
even-odd,321,6,12,1000,8,128
even-odd,321,6,12,1000,12,1000
even-odd,321,6,12,1000,12,1000
fibonacci,2777,67,1,4,12,1000
fibonacci,2844,67,2,8,12,1000
fibonacci,1216,67,4,32,12,1000
fibonacci,1415,67,8,128,12,1000
fibonacci,1674,67,12,1000,12,1000
fibonacci,1674,67,12,1000,1,4
fibonacci,1674,67,12,1000,1,4
fibonacci,1674,67,12,1000,2,8
fibonacci,1674,67,12,1000,2,8
fibonacci,1674,67,12,1000,4,32
fibonacci,1674,67,12,1000,4,32
fibonacci,1674,67,12,1000,8,128
fibonacci,1674,67,12,1000,8,128
fibonacci,1674,67,12,1000,12,1000
fibonacci,1674,67,12,1000,12,1000
palindrome,923,22,1,4,12,1000
palindrome,945,22,2,8,12,1000
palindrome,571,22,4,32,12,1000
palindrome,645,22,8,128,12,1000
palindrome,725,22,12,1000,12,1000
palindrome,725,22,12,1000,1,4
palindrome,725,22,12,1000,1,4
palindrome,725,22,12,1000,2,8
palindrome,725,22,12,1000,2,8
palindrome,725,22,12,1000,4,32
palindrome,725,22,12,1000,4,32
palindrome,725,22,12,1000,8,128
palindrome,725,22,12,1000,8,128
palindrome,725,22,12,1000,12,1000
palindrome,725,22,12,1000,12,1000
prime,4154,100,1,4,12,1000
prime,4254,100,2,8,12,1000
prime,1054,100,4,32,12,1000
prime,1394,100,8,128,12,1000
prime,1734,100,12,1000,12,1000
prime,1734,100,12,1000,1,4
prime,1734,100,12,1000,1,4
prime,1734,100,12,1000,2,8
prime,1734,100,12,1000,2,8
prime,1734,100,12,1000,4,32
prime,1734,100,12,1000,4,32
prime,1734,100,12,1000,8,128
prime,1734,100,12,1000,8,128
prime,1734,100,12,1000,12,1000
prime,1734,100,12,1000,12,1000
